sport,team_a_form,team_b_form,team_a_strength,team_b_strength,home_advantage,head_to_head_advantage,team_a_avg_goals,team_b_avg_goals,team_a_avg_conceded,team_b_avg_conceded,winner
basketball,0.5263,0.5581,0.5824,0.5859,0,0.5972,117.49,114.55,112.46,107.12,1
football,0.664,0.6344,0.4198,0.5444,1,0.4245,0.97,1.35,1.08,0.78,1
cricket,0.6484,0.5479,0.6292,0.632,1,0.6685,181.4,152.52,7.87,5.64,1
cricket,0.6653,0.4806,0.6386,0.5552,0,0.4871,153.07,152.44,5.51,7.55,0
basketball,0.3895,0.8288,0.561,0.5052,0,0.401,110.16,104.65,108.56,118.05,0
basketball,0.7227,0.4552,0.6314,0.5959,1,0.7426,127.03,119.75,110.89,111.5,1
cricket,0.917,0.6378,0.6271,0.6037,1,0.5417,160.08,153.38,6.33,6.41,0
basketball,0.5297,0.7196,0.5742,0.6461,0,0.4863,112.91,120.9,108.42,97.47,1
football,0.7581,0.4955,0.6364,0.546,1,0.4334,1.8,1.48,0.78,0.93,0
cricket,0.7255,0.566,0.6283,0.5491,0,0.5843,171.34,150.48,7.14,7.56,1
football,0.724,0.9065,0.5149,0.618,1,0.4754,1.48,1.87,1.13,0.97,0
basketball,0.617,0.5936,0.5687,0.6771,1,0.4658,105.58,125.91,99.57,95.0,1
cricket,0.5837,0.6255,0.5845,0.6831,0,0.4055,152.22,175.66,6.81,6.1,0
basketball,0.7237,0.578,0.5327,0.696,1,0.5024,96.28,130.98,97.4,95.0,1
basketball,0.4885,0.6264,0.5646,0.5916,1,0.4337,111.1,121.31,108.8,115.09,1
cricket,0.6468,0.7703,0.5181,0.6375,0,0.4097,143.85,169.69,7.83,6.79,0
cricket,0.7187,0.6562,0.5564,0.6565,1,0.6555,141.0,165.22,6.67,5.98,1
cricket,0.806,0.5568,0.5903,0.5462,0,0.5515,160.23,138.2,7.26,6.71,1
cricket,0.7689,0.5697,0.556,0.5952,1,0.5737,143.16,177.41,6.84,8.43,0
cricket,0.8583,0.5414,0.6733,0.6203,0,0.5391,168.03,161.52,5.77,6.61,1
cricket,0.4403,0.7886,0.5343,0.7179,1,0.573,139.25,188.7,7.09,6.2,1
football,0.7406,0.7648,0.698,0.4169,0,0.5777,2.24,0.83,0.94,0.94,1
cricket,0.7122,0.5612,0.7021,0.594,1,0.6339,178.09,166.42,5.8,7.63,1
cricket,0.7273,0.5461,0.5942,0.4998,1,0.6288,159.7,150.62,7.12,8.8,1
basketball,0.7678,0.7335,0.6607,0.6254,1,0.4634,123.25,123.72,96.29,108.0,1
basketball,0.5034,0.7004,0.619,0.6476,0,0.5584,114.27,129.49,96.39,109.39,1
football,0.7326,0.6298,0.6164,0.65,1,0.5248,1.44,2.03,0.45,0.98,1
basketball,0.5524,0.5635,0.665,0.579,0,0.5097,135.0,114.25,104.7,108.86,0
cricket,0.5286,0.572,0.5251,0.5665,1,0.4767,131.78,161.68,6.76,7.96,0
cricket,0.5716,0.6259,0.5971,0.5467,1,0.5783,146.67,159.83,6.07,8.32,1
cricket,0.6929,0.8455,0.6151,0.5844,0,0.4452,162.23,155.16,6.79,7.03,1
cricket,0.5767,0.6234,0.6069,0.6773,0,0.5762,160.96,171.12,6.9,5.9,0
basketball,0.4535,0.6806,0.614,0.5591,1,0.5188,115.56,105.28,99.79,102.14,1
cricket,0.6575,0.5462,0.6843,0.5452,0,0.5044,185.22,156.34,6.78,8.09,1
football,0.7979,0.7195,0.778,0.4844,1,0.5542,2.5,1.3,0.77,1.1,1
basketball,0.3638,0.4159,0.5923,0.5497,1,0.5629,119.61,118.71,112.43,124.45,1
cricket,0.8111,0.6097,0.6745,0.6017,0,0.6778,172.12,147.21,6.05,6.0,1
cricket,0.5204,0.6026,0.5839,0.5226,0,0.4808,161.92,125.53,7.55,6.35,0
basketball,0.3737,0.6532,0.5645,0.5834,1,0.4394,115.79,111.45,115.6,103.43,1
football,0.6695,0.6943,0.6927,0.8799,1,0.4366,2.27,2.79,1.0,0.49,1
cricket,0.7522,0.3966,0.7185,0.5257,0,0.8444,188.43,148.33,6.17,7.98,1
cricket,0.6536,0.3222,0.564,0.5011,1,0.6219,161.33,137.92,8.0,7.82,1
cricket,0.617,0.5853,0.6176,0.6409,1,0.5184,169.08,168.3,7.24,6.6,0
cricket,0.7096,0.6948,0.5996,0.5638,1,0.4555,158.39,148.96,6.89,7.08,1
football,0.7932,0.6995,0.5186,0.6198,1,0.4751,1.28,1.37,0.85,0.33,0
football,0.5817,0.7247,0.5746,0.6522,1,0.4803,1.28,1.94,0.51,0.84,0
cricket,0.6786,0.6917,0.6382,0.5329,1,0.4691,163.95,146.23,6.34,7.64,1
cricket,0.5266,0.6299,0.557,0.5721,0,0.4138,142.94,163.01,6.8,7.92,0
football,0.7475,0.5884,0.8474,0.5483,0,0.5474,2.57,1.23,0.41,0.61,1
basketball,0.671,0.4718,0.6773,0.5894,0,0.498,125.95,117.07,95.0,109.65,0
football,0.739,0.7534,0.5804,0.7776,0,0.4089,1.41,2.27,0.63,0.47,0
football,0.5762,0.7113,0.6823,0.6158,1,0.4731,1.92,2.04,0.64,1.2,1
football,0.8483,0.7476,0.6272,0.6715,0,0.5284,1.83,1.84,0.87,0.6,0
basketball,0.7672,0.6435,0.6134,0.5341,1,0.4392,115.46,102.7,99.86,106.23,0
basketball,0.483,0.6851,0.5791,0.5243,0,0.3428,115.78,96.89,111.01,100.9,0
cricket,0.6646,0.6247,0.6877,0.6379,1,0.5962,175.29,160.19,5.96,6.07,1
cricket,0.4275,0.6199,0.5723,0.6151,1,0.4665,165.39,173.57,8.1,7.64,0
cricket,0.6408,0.5942,0.6749,0.5549,1,0.6388,182.47,150.93,6.81,7.45,0
basketball,0.5474,0.5605,0.6468,0.5792,0,0.4046,129.22,117.95,109.26,114.11,1
football,0.7788,0.7865,0.8127,0.8545,1,0.6519,2.39,3.1,0.41,0.91,1
basketball,0.5987,0.5791,0.5601,0.57,1,0.3813,115.01,110.19,115.84,105.82,0
basketball,0.7452,0.6204,0.6454,0.6198,0,0.5302,119.03,113.49,95.0,95.0,0
cricket,0.655,0.5509,0.5109,0.5505,1,0.5179,138.06,155.27,7.58,7.88,0
cricket,0.6916,0.6676,0.6281,0.6337,1,0.4084,167.28,175.0,6.84,7.28,1
football,0.8813,0.7079,0.7292,0.4412,1,0.5346,2.08,1.21,0.54,1.26,1
basketball,0.6739,0.7203,0.5558,0.6327,1,0.4273,108.15,116.29,107.31,95.0,0
football,0.9174,0.5861,0.7215,0.646,1,0.5152,2.19,1.93,0.73,0.88,1
basketball,0.5831,0.8672,0.5729,0.6116,0,0.4926,118.99,113.57,117.61,97.67,0
cricket,0.7554,0.6481,0.6109,0.5007,1,0.5758,170.31,154.52,7.5,9.07,1
football,0.6511,0.9194,0.5765,0.5951,0,0.5186,1.5,1.45,0.77,0.59,1
cricket,0.6609,0.6945,0.665,0.6603,0,0.5219,178.92,164.2,6.79,5.81,0
basketball,0.6993,0.7333,0.6181,0.6602,0,0.5476,122.98,127.82,109.23,103.05,0
cricket,0.7307,0.7152,0.6951,0.589,0,0.3574,188.99,155.89,6.8,6.97,1
basketball,0.9274,0.7762,0.5908,0.6715,0,0.4217,110.79,129.92,100.17,102.55,0
cricket,0.5879,0.7175,0.5959,0.54,0,0.4734,151.35,149.24,6.45,7.69,0
football,0.8207,0.84,0.46,0.5404,1,0.6908,0.98,1.2,0.85,0.62,1
basketball,0.6815,0.7049,0.5808,0.6033,1,0.4343,118.88,120.17,114.96,109.8,0
basketball,0.5852,0.447,0.543,0.585,0,0.7139,108.14,126.75,111.29,126.53,1
basketball,0.6491,0.6266,0.6054,0.6009,1,0.5397,119.9,122.54,108.76,113.96,1
basketball,0.6313,0.8645,0.5769,0.5865,0,0.4108,121.94,111.96,120.58,103.19,0
football,0.7412,0.8338,0.5539,0.8031,1,0.504,1.66,2.31,1.11,0.36,1
basketball,0.6089,0.5626,0.585,0.6142,0,0.5809,107.17,129.47,96.76,119.79,1
cricket,0.5801,0.7368,0.5658,0.5718,0,0.4993,152.13,158.62,7.27,7.6,1
football,0.6781,0.7186,0.5993,0.8188,1,0.4144,1.64,2.68,0.8,0.73,0
football,0.779,0.6512,0.6176,0.7682,1,0.4767,1.71,2.57,0.78,0.92,0
cricket,0.7348,0.6581,0.7036,0.5934,0,0.5347,188.53,154.46,6.55,6.75,1
basketball,0.7769,0.5996,0.5044,0.4757,0,0.5535,98.95,96.78,110.1,115.93,0
football,0.6195,0.7044,0.4889,0.618,0,0.5877,1.21,1.61,0.95,0.65,0
cricket,0.664,0.6724,0.5356,0.5984,1,0.4471,148.5,158.62,7.75,6.94,0
cricket,0.8048,0.6532,0.6546,0.5418,1,0.4893,160.03,150.08,5.64,7.71,1
football,0.8327,0.6606,0.582,0.6552,1,0.4009,1.41,2.15,0.62,1.1,0
basketball,0.5652,0.3893,0.5971,0.4826,0,0.4744,120.37,101.04,112.04,119.93,1
basketball,0.6884,0.6467,0.5239,0.6608,1,0.4421,102.44,126.67,109.03,101.19,0
cricket,0.4719,0.4723,0.4898,0.548,0,0.4276,135.05,140.74,7.88,6.85,1
football,0.828,0.6537,0.7838,0.7302,0,0.49,2.44,2.23,0.65,0.73,1
cricket,0.4422,0.7258,0.5399,0.7574,0,0.4381,151.81,196.98,7.89,5.84,1
cricket,0.651,0.3566,0.5909,0.513,0,0.6228,135.0,153.99,5.35,8.72,1
football,0.9045,0.5844,0.8557,0.6967,0,0.5048,2.9,2.11,0.77,0.79,0
cricket,0.8107,0.7081,0.64,0.7,1,0.3243,161.27,183.52,6.1,6.26,1
basketball,0.5508,0.5595,0.5077,0.584,0,0.4797,107.64,121.84,121.61,118.23,1
basketball,0.7668,0.6427,0.6655,0.5887,0,0.4019,131.87,120.89,104.53,115.4,1
football,0.8203,0.7355,0.5547,0.5714,0,0.5127,1.47,1.7,0.88,1.06,1
football,0.7105,0.7164,0.4823,0.8139,0,0.4108,1.16,2.79,0.94,0.9,1
basketball,0.6061,0.6632,0.4452,0.6151,0,0.446,95.62,122.04,123.77,108.79,0
football,0.6525,0.6744,0.5796,0.5311,1,0.5289,1.57,1.44,0.84,0.98,1
cricket,0.7279,0.56,0.6088,0.4684,1,0.4295,159.49,132.49,6.74,8.23,0
football,0.7523,0.7399,0.6216,0.5563,1,0.5788,1.81,1.35,0.88,0.71,1
cricket,0.5987,0.7909,0.5914,0.5509,1,0.6254,169.43,136.48,7.92,6.46,0
cricket,0.4438,0.5161,0.534,0.5384,1,0.6426,160.4,140.21,8.68,7.06,1
cricket,0.728,0.6444,0.6115,0.5603,0,0.4287,164.79,150.89,7.07,7.31,0
football,0.7712,0.9715,0.6302,0.8501,0,0.4959,1.85,2.7,0.88,0.57,0
basketball,0.764,0.4602,0.6573,0.5619,1,0.5597,125.92,108.79,101.2,106.33,1
football,0.7605,0.6915,0.5606,0.5612,0,0.4994,1.62,1.23,1.02,0.52,0
cricket,0.4569,0.5015,0.5413,0.6769,0,0.5096,137.87,184.29,6.81,6.9,1
football,0.7047,0.8637,0.7369,0.6203,0,0.5744,2.39,1.56,0.88,0.57,0
football,0.7469,0.729,0.6343,0.5128,1,0.657,1.76,1.44,0.74,1.1,1
basketball,0.598,0.5289,0.5239,0.5465,0,0.4699,103.99,118.4,111.26,129.14,1
basketball,0.6568,0.6121,0.6396,0.5855,1,0.5611,135.0,112.82,112.62,104.76,0
basketball,0.5853,0.591,0.4733,0.5041,1,0.567,95.0,100.25,114.12,112.06,1
football,0.663,0.7068,0.7234,0.5984,0,0.6156,2.11,1.69,0.62,0.87,1
football,0.5807,0.6489,0.6568,0.6774,0,0.659,1.61,2.08,0.41,0.86,0
basketball,0.8025,0.6053,0.5894,0.6409,1,0.5492,115.24,127.32,107.02,108.36,1
cricket,0.5295,0.6868,0.6103,0.5342,0,0.462,159.69,148.53,6.72,7.79,0
cricket,0.7149,0.5007,0.5772,0.5607,0,0.3351,157.04,153.94,7.35,7.53,1
basketball,0.7119,0.6805,0.5589,0.5988,0,0.4742,116.82,118.01,118.83,108.1,0
cricket,0.4948,0.6249,0.6542,0.5554,0,0.5039,152.15,144.21,5.06,6.93,0
cricket,0.769,0.7004,0.6019,0.6337,1,0.5365,151.32,174.41,6.3,7.24,1
football,0.7358,0.8248,0.8161,0.6695,1,0.6842,2.72,2.01,0.8,0.82,1
basketball,0.7377,0.6461,0.5573,0.5481,1,0.5561,114.15,110.9,115.49,113.68,0
football,0.672,0.99,0.5211,0.9304,1,0.5551,1.09,3.41,0.6,0.43,1
cricket,0.6828,0.6815,0.5963,0.6686,1,0.5586,162.04,167.23,7.24,5.83,1
basketball,0.8425,0.6283,0.6758,0.541,1,0.5327,133.58,106.71,101.3,109.86,1
football,0.7015,0.7076,0.504,0.4878,0,0.4644,1.15,1.09,0.79,0.81,0
football,0.9839,0.7573,0.6732,0.715,1,0.5146,2.04,2.27,0.84,0.86,0
cricket,0.5584,0.6466,0.6014,0.58,1,0.4477,143.78,144.11,5.75,6.31,0
football,0.7146,0.7703,0.5049,0.676,1,0.4523,1.42,2.12,1.11,0.92,1
football,0.7477,0.9205,0.584,0.5287,0,0.5485,1.79,1.47,1.09,1.04,0
cricket,0.6479,0.9063,0.5627,0.6967,1,0.5632,147.31,192.14,6.98,6.99,1
football,0.7758,0.7119,0.6104,0.6054,0,0.4425,1.79,1.72,0.92,0.87,1
football,0.6221,0.7398,0.4842,0.6358,0,0.6024,1.48,1.58,1.32,0.5,0
football,0.681,0.7319,0.591,0.6711,1,0.5815,1.82,1.77,1.09,0.51,0
cricket,0.7066,0.7405,0.5648,0.6849,0,0.3192,133.1,185.03,5.86,6.76,0
cricket,0.5698,0.582,0.6124,0.5833,0,0.438,160.64,171.2,6.74,8.26,1
cricket,0.5199,0.61,0.7171,0.6516,0,0.4159,188.68,177.73,6.22,7.04,1
football,0.5958,0.6868,0.5109,0.6574,1,0.4857,1.21,2.24,0.82,1.19,1
cricket,0.5588,0.8171,0.5944,0.7526,0,0.4368,158.73,191.36,7.04,5.54,1
football,0.7829,0.8543,0.8736,0.4677,1,0.5556,3.3,1.07,0.79,0.92,0
football,0.8097,0.7213,0.8136,0.6461,0,0.5237,2.62,1.98,0.69,0.94,1
basketball,0.7252,0.7632,0.5145,0.5864,1,0.4126,95.0,126.0,101.25,123.5,0
football,0.7212,0.7831,0.4646,0.5068,0,0.5093,1.21,1.16,1.11,0.79,0
cricket,0.631,0.5116,0.65,0.5889,1,0.4631,183.07,165.17,7.48,7.67,1
basketball,0.6056,0.6009,0.5197,0.4697,0,0.4245,105.39,99.44,114.6,121.65,1
football,0.9104,0.6627,0.7536,0.7111,1,0.4862,2.16,2.23,0.49,0.85,1
cricket,0.6656,0.6931,0.6459,0.6971,1,0.4945,174.67,169.49,6.95,5.28,0
football,0.8061,0.6847,0.5797,0.6676,1,0.3862,1.8,2.05,1.12,0.88,0
cricket,0.5627,0.744,0.5634,0.7368,1,0.4939,156.22,180.5,7.63,5.12,1
football,0.6987,0.7788,0.5629,0.686,1,0.5925,1.4,1.85,0.73,0.52,0
football,0.8075,0.7803,0.5554,0.623,1,0.5222,1.22,2.0,0.55,1.11,1
football,0.8375,0.6699,0.6863,0.8778,1,0.5991,2.07,2.95,0.79,0.7,0
football,0.5814,0.8492,0.4022,0.8862,1,0.3772,1.11,2.84,1.38,0.52,0
football,0.8559,0.7307,0.5258,0.4503,1,0.4981,1.43,1.16,1.0,1.13,0
basketball,0.5405,0.378,0.5864,0.5806,0,0.5485,116.73,116.34,110.11,111.35,0
basketball,0.6392,0.6662,0.6291,0.5738,0,0.4046,125.34,106.24,109.2,98.92,0
cricket,0.6998,0.827,0.6413,0.5849,0,0.4284,176.84,154.1,7.23,6.94,1
cricket,0.5464,0.6795,0.6398,0.6727,1,0.4409,156.48,171.09,5.74,6.02,1
basketball,0.7433,0.7362,0.5896,0.6706,1,0.5615,120.8,131.85,114.99,102.94,1
basketball,0.6846,0.7292,0.5841,0.5718,0,0.4229,120.53,109.96,116.32,104.91,1
basketball,0.6149,0.6288,0.6072,0.6486,1,0.495,122.2,125.14,111.51,102.8,0
basketball,0.7129,0.7486,0.5563,0.6679,1,0.5447,118.71,134.9,122.37,103.78,1
cricket,0.5088,0.7764,0.4439,0.5733,0,0.4308,137.3,147.62,9.2,6.74,0
basketball,0.487,0.6314,0.5771,0.6821,0,0.4514,107.51,130.27,99.71,99.35,1
basketball,0.7988,0.7178,0.5733,0.6371,0,0.6749,106.03,120.59,98.78,99.85,0
cricket,0.4917,0.7966,0.7024,0.5455,1,0.5904,182.52,135.42,6.13,6.52,1
basketball,0.6151,0.5175,0.5639,0.6014,0,0.397,118.6,112.23,119.82,98.93,1
basketball,0.7855,0.6399,0.6177,0.5481,1,0.5168,122.53,108.72,108.72,110.54,0
basketball,0.5689,0.7583,0.6511,0.529,1,0.439,135.0,110.25,109.02,118.69,0
cricket,0.6896,0.5428,0.6377,0.5364,1,0.5881,168.48,126.63,6.69,6.09,0
football,0.7811,0.683,0.6455,0.6308,0,0.5538,1.89,1.65,0.83,0.61,1
football,0.6781,0.7814,0.4684,0.7332,0,0.4243,1.14,2.27,0.99,0.75,1
cricket,0.5654,0.6425,0.6862,0.633,0,0.5547,188.01,174.75,6.95,7.28,1
cricket,0.6742,0.4759,0.6043,0.4785,0,0.5138,156.09,134.62,6.6,8.13,1
football,0.6736,0.7108,0.6186,0.4904,1,0.5719,1.87,1.25,0.97,1.0,1
football,0.9495,0.8181,0.8623,0.5448,1,0.6021,2.74,1.57,0.54,1.06,0
basketball,0.7037,0.6648,0.6058,0.5902,1,0.487,114.71,110.51,101.13,99.94,1
basketball,0.6654,0.7779,0.6173,0.5013,1,0.4395,124.39,98.97,111.49,111.09,0
basketball,0.7309,0.6784,0.5381,0.6099,0,0.5314,116.59,119.19,130.0,106.33,0
basketball,0.5148,0.4806,0.5025,0.5011,0,0.5961,103.42,98.61,117.13,110.63,1
football,0.6735,0.7308,0.4928,0.9064,1,0.6077,1.06,3.2,0.74,0.58,0
football,0.637,0.6797,0.6048,0.7796,0,0.5409,1.57,2.87,0.68,1.22,0
football,0.9014,0.6631,0.7741,0.5428,1,0.5354,2.28,1.9,0.51,1.48,1
football,0.7293,0.6145,0.6388,0.5652,1,0.6383,1.61,1.31,0.52,0.6,1
cricket,0.6605,0.8447,0.5622,0.6382,0,0.4084,154.0,171.15,7.49,6.88,1
cricket,0.5997,0.6947,0.5292,0.552,0,0.4987,146.96,138.08,7.79,6.56,1
cricket,0.5267,0.7741,0.6295,0.6744,1,0.3839,160.88,173.05,6.33,6.12,0
basketball,0.5539,0.6709,0.4965,0.505,1,0.5081,96.75,109.42,109.4,127.63,0
cricket,0.5455,0.3111,0.5288,0.5236,0,0.699,145.78,148.34,7.71,8.04,1
football,0.7448,0.5553,0.5764,0.6269,1,0.5923,1.62,1.81,0.93,0.84,0
basketball,0.5442,0.5732,0.4978,0.5649,1,0.5205,107.59,107.26,124.63,103.17,1
cricket,0.7718,0.7033,0.6452,0.6365,0,0.4355,162.38,165.86,6.05,6.53,1
cricket,0.7669,0.5516,0.5702,0.647,0,0.6137,163.07,162.83,7.98,6.04,0
basketball,0.7599,0.5362,0.549,0.6097,1,0.5043,100.88,118.98,98.94,106.08,1
football,0.6959,0.8197,0.6078,0.7007,0,0.4055,1.65,2.0,0.76,0.62,1
football,0.6701,0.849,0.5793,0.5962,1,0.4984,1.47,1.96,0.72,1.22,0
football,0.6491,0.5773,0.5205,0.4769,1,0.4051,1.25,1.27,0.81,1.1,1
basketball,0.6526,0.5797,0.6093,0.6342,0,0.3944,118.06,131.06,104.87,114.31,1
cricket,0.5288,0.7775,0.6393,0.5801,1,0.4071,152.95,151.99,5.49,6.9,1
cricket,0.8824,0.6148,0.6849,0.3916,1,0.6416,185.17,106.49,6.76,8.2,1
basketball,0.8486,0.6656,0.6846,0.5603,1,0.6725,135.0,105.5,98.55,102.06,0
football,0.6084,0.7147,0.4694,0.7144,1,0.4183,0.92,2.07,0.72,0.63,1
basketball,0.6609,0.5823,0.5921,0.5201,1,0.5404,117.24,100.49,109.06,107.4,0
basketball,0.698,0.6544,0.5378,0.6229,1,0.5265,114.23,114.17,121.69,95.0,1
basketball,0.5587,0.6471,0.6061,0.6162,0,0.4821,118.47,126.27,106.47,114.55,0
basketball,0.7338,0.6774,0.6201,0.5876,1,0.4834,117.55,121.29,100.76,116.32,0
football,0.5143,0.7553,0.5246,0.6479,1,0.6132,1.78,2.25,1.44,1.26,0
cricket,0.6452,0.5693,0.5719,0.682,0,0.5725,164.54,169.64,8.04,5.67,1
football,0.92,0.9104,0.5997,0.6078,0,0.4171,1.47,1.6,0.59,0.7,1
cricket,0.7516,0.5099,0.6019,0.5058,1,0.4668,159.56,122.35,6.92,6.53,0
football,0.8115,0.629,0.7624,0.5616,0,0.5298,2.54,1.79,0.92,1.23,1
football,0.7899,0.9281,0.612,0.8658,1,0.4742,1.73,2.59,0.83,0.33,1
basketball,0.7421,0.525,0.572,0.5519,1,0.619,111.25,108.58,106.72,109.13,1
football,0.7655,0.6589,0.6517,0.7298,1,0.4349,2.01,2.1,0.94,0.56,0
basketball,0.4156,0.8293,0.503,0.696,0,0.5192,103.96,132.05,117.75,95.0,0
football,0.8052,0.6997,0.8147,0.541,0,0.6333,2.44,1.59,0.46,1.1,1
football,0.7893,0.8333,0.9151,0.6685,1,0.5313,3.16,1.88,0.53,0.67,1
football,0.7127,0.6214,0.624,0.6445,1,0.453,1.89,1.48,0.96,0.32,0
cricket,0.5532,0.7911,0.5257,0.6028,0,0.5471,148.1,166.54,7.97,7.42,1
basketball,0.6498,0.7067,0.6204,0.6659,0,0.4821,129.31,135.0,117.62,104.41,0
basketball,0.5717,0.7267,0.5303,0.5345,0,0.4815,109.07,95.0,116.6,95.0,1
basketball,0.6524,0.6442,0.5826,0.4862,0,0.7052,119.54,104.76,115.34,124.16,1
football,0.7217,0.5421,0.4937,0.5857,1,0.484,1.32,1.54,1.07,0.77,1
cricket,0.5727,0.5188,0.5429,0.6315,0,0.5404,137.32,165.46,6.73,6.62,1
football,0.7335,0.7432,0.6538,0.5697,0,0.5042,1.84,1.5,0.72,0.82,1
basketball,0.6986,0.6016,0.4932,0.5467,0,0.4321,95.0,110.69,107.88,113.81,0
football,0.7522,0.644,0.6643,0.6021,0,0.5209,1.73,1.74,0.52,0.91,0
cricket,0.6153,0.6262,0.5395,0.6474,1,0.4152,139.55,166.41,6.98,6.29,1
football,0.7305,0.7141,0.6746,0.5864,0,0.3931,1.92,1.38,0.68,0.56,0
basketball,0.5292,0.711,0.5073,0.625,1,0.6477,107.64,126.26,121.72,111.78,0
football,0.7425,0.7306,0.7227,0.5117,0,0.51,2.08,1.36,0.59,1.0,1
cricket,0.5545,0.6765,0.5034,0.5542,0,0.487,118.46,142.34,6.3,6.82,0
football,0.7625,0.6804,0.6324,0.6276,0,0.3834,1.73,1.97,0.72,1.05,1
cricket,0.6054,0.7619,0.5734,0.6735,0,0.4332,141.84,170.04,6.3,5.92,0
football,0.894,0.8859,0.9024,0.8815,1,0.4889,3.27,2.8,0.61,0.49,0
football,0.816,0.7924,0.536,0.6126,1,0.6269,1.61,1.53,1.17,0.58,1
football,0.5359,0.7609,0.5603,0.6354,1,0.4145,1.32,1.6,0.65,0.53,0
basketball,0.7329,0.5522,0.5806,0.5622,1,0.3593,113.91,117.46,107.84,118.72,1
cricket,0.5899,0.6365,0.5877,0.6517,0,0.4386,169.55,174.3,8.02,6.78,1
cricket,0.6764,0.8844,0.5892,0.668,1,0.3872,162.36,180.51,7.45,6.84,1
basketball,0.4361,0.6266,0.6386,0.5956,1,0.4856,126.46,114.06,107.84,103.39,1
cricket,0.7656,0.6396,0.6409,0.4816,0,0.5152,158.78,134.75,5.89,8.07,1
football,0.8296,0.8234,0.5488,0.7856,1,0.469,1.56,2.3,1.02,0.47,0
cricket,0.5595,0.6573,0.6374,0.5971,0,0.4199,157.09,147.86,5.85,6.16,0
basketball,0.7889,0.7415,0.4669,0.5909,1,0.5239,96.63,109.39,118.46,98.11,0
cricket,0.6243,0.6307,0.6273,0.6115,1,0.4678,170.78,158.34,7.13,6.59,0
football,0.8014,0.6671,0.5578,0.4794,1,0.3875,1.09,1.49,0.37,1.37,1
football,0.6116,0.7311,0.7572,0.6042,0,0.5026,2.4,1.43,0.77,0.51,0
football,0.6934,0.7329,0.906,0.5967,0,0.4569,2.82,1.5,0.36,0.64,1
cricket,0.5544,0.5439,0.5822,0.5956,1,0.5017,151.62,153.37,6.82,6.61,1
cricket,0.794,0.7384,0.6244,0.6814,0,0.4485,171.33,169.26,7.24,5.66,1
cricket,0.5284,0.6158,0.4883,0.4405,0,0.459,134.89,117.97,7.91,7.84,1
football,0.7125,0.7126,0.5729,0.672,1,0.3986,1.58,2.08,0.89,0.9,1
cricket,0.6799,0.765,0.6936,0.6491,1,0.445,176.96,149.7,5.93,5.0,1
football,0.9068,0.6742,0.7386,0.4986,0,0.5982,2.34,1.51,0.81,1.27,1
football,0.8588,0.7727,0.6359,0.6103,1,0.5142,2.04,1.58,1.07,0.66,1
cricket,0.6239,0.6102,0.615,0.461,1,0.5113,165.02,127.73,7.0,8.06,1
cricket,0.7441,0.6487,0.6403,0.4998,0,0.5974,165.16,118.81,6.38,6.42,1
football,0.99,0.7539,0.6422,0.6788,0,0.5433,1.72,1.98,0.63,0.74,0
football,0.6967,0.7271,0.6586,0.7773,1,0.4013,1.86,2.49,0.71,0.75,1
basketball,0.4758,0.736,0.5553,0.5408,0,0.4034,114.44,104.28,116.52,106.42,1
cricket,0.8638,0.7509,0.7071,0.5601,1,0.5016,190.85,154.16,6.64,7.56,1
football,0.7296,0.6743,0.9414,0.7408,0,0.5215,3.28,2.27,0.37,0.71,1
football,0.7489,0.6641,0.8686,0.419,0,0.3374,2.77,0.96,0.54,1.08,1
basketball,0.7115,0.646,0.53,0.6192,0,0.4541,113.62,120.91,123.24,105.9,1
basketball,0.6455,0.608,0.5929,0.5708,0,0.4129,115.97,115.22,106.98,112.83,0
cricket,0.706,0.5449,0.5381,0.6012,0,0.6553,142.92,153.21,7.27,6.46,1
cricket,0.7332,0.4927,0.5482,0.5913,0,0.4555,156.21,159.23,8.01,7.16,0
football,0.7741,0.8432,0.6562,0.682,1,0.5631,1.74,1.96,0.57,0.69,1
basketball,0.611,0.7262,0.5994,0.6647,1,0.5449,118.52,132.79,108.63,104.77,0
football,0.7708,0.7147,0.7629,0.6033,1,0.3939,2.41,1.79,0.74,0.96,0
cricket,0.6056,0.5344,0.5751,0.5031,0,0.4134,136.73,137.83,5.88,7.76,1
football,0.7948,0.7248,0.7672,0.6134,1,0.4664,2.46,1.59,0.78,0.66,1
football,0.8994,0.7614,0.5602,0.6641,0,0.5038,1.28,1.78,0.6,0.57,0
cricket,0.6786,0.7377,0.6319,0.628,0,0.5538,165.34,153.74,6.6,5.83,0
football,0.8734,0.7033,0.7973,0.8067,0,0.567,2.79,2.53,1.01,0.62,1
cricket,0.481,0.837,0.5644,0.6968,1,0.3545,158.17,177.64,7.75,5.9,0
cricket,0.5356,0.845,0.6295,0.6685,0,0.3891,161.82,185.54,6.4,7.2,1
football,0.8253,0.9432,0.724,0.5818,0,0.6859,2.18,1.41,0.7,0.62,0
cricket,0.5686,0.6292,0.6366,0.6011,1,0.5018,168.08,147.48,6.69,6.03,0
football,0.7664,0.8383,0.8602,0.6097,0,0.4068,2.78,1.86,0.6,1.01,1
basketball,0.463,0.4098,0.5283,0.5913,1,0.5608,106.55,122.22,113.58,116.48,1
cricket,0.6305,0.6787,0.6803,0.6078,1,0.5673,181.88,155.31,6.63,6.45,0
football,0.7796,0.8334,0.6951,0.9344,1,0.4247,2.2,3.67,0.91,0.41,0
